Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,01,19,19,00,00,3.11167
2020,01,19,20,00,00,3.41833
2020,01,19,21,00,00,3.44833
2020,01,19,22,00,00,3.64333
2020,01,19,23,00,00,3.80333
2020,01,20,00,00,00,3.78167
2020,01,20,01,00,00,3.89167
2020,01,20,02,00,00,3.84333
2020,01,20,03,00,00,3.89167
2020,01,20,04,00,00,3.84167
2020,01,20,05,00,00,3.69833
2020,01,20,06,00,00,3.515
2020,01,20,07,00,00,2.78833
2020,01,20,08,00,00,1.99167
2020,01,20,09,00,00,1.58667
2020,01,20,10,00,00,2.065
2020,01,20,11,00,00,2.91167
2020,01,20,12,00,00,4.03667
2020,01,20,13,00,00,4.20333
2020,01,20,14,00,00,4.11833
2020,01,20,15,00,00,4.015
2020,01,20,16,00,00,3.97333
2020,01,20,17,00,00,3.69667
2020,01,20,18,00,00,3.41167
2020,01,20,19,00,00,3.28833
2020,01,20,20,00,00,3.29167
2020,01,20,21,00,00,3.59833
2020,01,20,22,00,00,3.95333
2020,01,20,23,00,00,4.38167
2020,01,21,00,00,00,4.76833
2020,01,21,01,00,00,5.03333
2020,01,21,02,00,00,5.09333
2020,01,21,03,00,00,5.63167
2020,01,21,04,00,00,6.2
2020,01,21,05,00,00,6.34667
2020,01,21,06,00,00,6.91333
2020,01,21,07,00,00,7.07333
2020,01,21,08,00,00,7.40833
2020,01,21,09,00,00,8.05
2020,01,21,10,00,00,7.825
2020,01,21,11,00,00,6.965
2020,01,21,12,00,00,6.405
2020,01,21,13,00,00,6.12833
2020,01,21,14,00,00,5.60667
2020,01,21,15,00,00,5.03
2020,01,21,16,00,00,4.45667
2020,01,21,17,00,00,4.12833
2020,01,21,18,00,00,3.88667
2020,01,21,19,00,00,3.77333
2020,01,21,20,00,00,3.935
2020,01,21,21,00,00,4.1
2020,01,21,22,00,00,4.07667
2020,01,21,23,00,00,4.02667
2020,01,22,00,00,00,4.04833
2020,01,22,01,00,00,3.98833
2020,01,22,02,00,00,3.58333
2020,01,22,03,00,00,3.335
2020,01,22,04,00,00,3.27333
2020,01,22,05,00,00,1.57167
2020,01,22,06,00,00,0.9
2020,01,22,07,00,00,1.01333
2020,01,22,08,00,00,1.19333
2020,01,22,09,00,00,1.095
2020,01,22,10,00,00,1.54833
2020,01,22,11,00,00,2.11667
2020,01,22,12,00,00,2.41167
2020,01,22,13,00,00,2.46833
